,title,text
0,Pilot,"middle night obviously drunk rick bursts morty ’s room tells "" surprise "" show driving newly built flying vehicle rick explains made neutrino bomb : decided earth needs "" fresh start "" end wants destroy humanity planning start morty jessica new "" adam eve "" morty tries "" take control situation "" taking wheel vehicle rick eventually decides land vehicle says test get morty act assertive passes bomb announces armed ( presumably ) activates.the next morning morty falls asleep breakfast mother beth concerned morty ’s older sister summer explains grandpa rick causes argument jerry father law rick points thinks school utter waste time ; leaving room compliments breakfast daughter beth made causing cry tears joy stop angry father much husband jerry ’s annoyance.at school later day mr goldenfold administers math test morty falls asleep sinking dream filled numbers dream quickly however evolves sexual encounter jessica asks play exposed breasts mr goldenfold unwittingly finds receiving end morty ’s subconscious fantasy later morty accosted bully named frank ; appearing nowhere rick uses freeze ray stop convinces morty skip history needs "" extra pair hands "" another dimension rick morty leave school leaving frank frozen teetering hallway walking ( realizing frozen ) summer tries impress frank front foot cracks topples shatters pieces floor causing summer scream.on lunch break jerry visits wife beth performing heart surgery invite lunch declines proposes put rick nursing home eliciting aggravated response beth lashes nurse.in alleyway rick opens portal wall rick morty step emerging onto hillside colorful oddly shaped world rick tells awestruck morty dimension 35 c explains needs mega seeds mega trees research morty expresses anxiety strange situation rick tries calm morty speech facing fears suddenly interrupted strange arachnid like beast chases rick openly proclaims never seen anything like going die escaping monster passing several monsters rick interrupts another set objections morty directing morty ’s attention grove mega trees bottom steeply walled valley refusing answer morty nature mega seeds rick gives morty grappling shoes scale wall morty steps edge falls cliff rick neglected tell morty turn shoes on.meanwhile jerry beth still arguing whether put rick retirement home beth upset believing husband jerry trying rob father recently moved jerry believes rick terrible influence son morty needs go brief interruption beth ’s assistant davin beth counters husband ’s argument saying morty trouble school rick moved ; fact morty friend important potential detriment principal school gene vagina calls asking couple come school talk him.back dimension 35 c morty lies ground bottom cliff legs terribly broken three places rick lectures morty folly failing turn shoes morty yells rick indifference singular focus mega seeds rather injuries rick leaves morty disappearing portal number seconds returning injecting morty ’s legs serum cures morty ’s broken legs legs fully functional morty uses grappling shoes get mega fruit rick explains traveled future dimension technology among things halted aging process unfortunately continues spent much time alternate dimension portal gun exhausted charge morty panics rick explains ’ll go inter dimensional customs order keep seeds hidden morty smuggle mega seeds customs rectum morty objects rick persists years smuggling rendered unable same.meeting principal vagina jerry beth informed son morty attended school total seven hours two month period addition principal tells rick one removing morty school.having reached customs rick morty discover insect like security guards new machine "" detects stuff way [ someone ’s ] butt "" rick yells morty run pushes guard ground make break guards close passing various creatures dimensions rick destroys several things customs slow security also assaults two aliens bystanders using grappling shoes methods avoidance two manage get portal rick enter coordinates home dimension guards begin shoot rick tells morty shoot back telling robots morty shoots one however finds robots living organisms rick explains using metaphor : guards bureaucrats respect firefight wilhelm scream heard finishing coordinate input rick pulls morty portal school cafeteria ; morty lands front jessica impressing unfortunately jerry beth principal catch them.the spouses start moving rick ’s stuff garage moving van intending move nursing home rick argues daughter son law reveal morty learning disability rick asks morty state square root pi first law thermodynamics promptly correctly recites explains adventures best way morty learn tells later life morty amazing things result adventures husband wife relent happy content morty learning rick tells morty none told parents true : super intelligence temporary one side effects mega seeds breaking rectal cavity side effects take hold morty loses brain function control motor skills rick starts rambling future adventures : "" rick morty forever ever hundred years rick morty "" episode ends garage door closing rick continues rambling"
1,Lawnmower Dog,"  jerry complains family dog snuffles stupid rick gives jerry device enhances dog ’s intelligence morty go dreams morty ’s math teacher persuade give morty "" "" class morty assigned less homework go morty ’s math teacher ’s dreams dreams strong black female tv character named mrs pancakes centaur ’s dreams results rick morty eventually encountering scary terry ( parody freddy krueger villain ina nightmare elm street ) scary terry begins chasing two multiple dreams causing rick become unhinged.at one point two come across dream post apocalyptic city decide hide scary terry gets tired scary terry eventually sleeps rick morty enter dreams quickly persuade help duo complete mission meanwhile watching several exaggerated infomercials dogs snuffles builds advanced mechanical suit translator speak humans assembles robot dog army proceeds take human race rick finds morty gives pills make kidneys shut down.morty later seen lying hospital bed critical state snuffles side trying keep alive snuffles awakens ( aforementioned scenario revealed dream ) realizes colonizing earth answer dog kind must fall fate humankind heartbreak cruelty snuffles morty tearful goodbye snuffles leaves another planet intelligent dogs compassion exercised "" pet insurance mandatory ""after credits rick scary terry shown scary class taught scary mr johnson asks called scary glen instead fundamentals fear scary glen tells students first need learn "" chill """
2,Anatomy Park (Episode),"christmas jerry tries enforce idea "" human holiday "" onto rest family hisparents visiting confiscating morty beth summer ’s electronic gadgets rick shows homeless man santa outfit briefly introduces ruben heading garage.as holiday progresses jerry realizes traditional idea family christmas usurped introduction jacob mother ’s lover entered three way relationship parents rest family accepts supports relationship jerry becomes insecure defensive allowing anxiety parents ’ relationship negatively affect throughout episode.meanwhile morty finds rick created jurassic park style amusement park inside ruben homeless man needed inside ruben ’s body rick shrinks microscopic size injects ruben ’s chest cavity allowing meet dr xenon bloom residents anatomy park ruben soon dies multitude bacteria viruses run rampant body crew escape survive make way anatomy park morty begins fall annie employee anatomy park begins journey apathetic plight soon grows fancy crew discovers poncho planned compromise safety anatomy park get back dr bloom falls death trying fight bubonic plague roger drowning shit soon after.meanwhile summer ’s boyfriend ethan barges house asking ignoring texts leads argument jacob manages bring ethan confess source anger.back body dr bloom annie morty sit room watching animatronic reuben explain history body soon begins collapse crew try ride skeletal railway system ( "" bone train "" ) reuben ’s nipple dr bloom eaten alive e. coli trying operate bone train whilst morty annie almost eaten hepatitis hepatitis c comes rescue.meanwhile rick put ruben ’s body ship flown miniature morty crew space activates growth ray corpse leading nationwide panic "" naked sky santa "" body soon explodes via dynamite rick put picking morty annie raining bloody chunks america smith household.rick morty annie arrive back house annie reveals studying dr bloom ’s work knowledge capable build new one rick shrinks back leaving morty depressed.in credits scene rick talks annie speakerphone new crew reveals plans scrap rick ’s special ride "" pirates pancreas "" hangs rants ethan site new anatomy park compromise unknown ethan ’s later mutation via morphixer xe affected new park inside"
3,M. Night Shaym-Aliens!,"episode opens rick dissecting large rat garage complaining sloppy workmanship morty stops comment beautiful day robotic beth gets car leaves work rick shown acting suspicious day ’s events well morty morty leaves school called front "" math class "" mr goldenfold asks teach class despite morty ’s seemingly incorrect answer math question classmate asks morty share recipe concentrated dark matter reluctant morty nearly enticed jessica rick bursts pulls morty away.rick tells morty get naked scramble locker room showers rick explains actually trapped simulation real life race ’ intergalactic scammers ’ called zigerions rick tells morty ’ll safe naked alien race immensely uncomfortable sight nudity.meanwhile jerry accidentally abducted simulation calmly goes day ’s events without noticing numerous glitches simulation made run low capacity jerry drives work gives pitch marketing slogan apples ( ’ hungry apples ’ ) board members approve jerry filled unbounded confidence promptly leaves make love simulated beth.rick morty plan impromptu rap concert rick orders crowd perform wide variety actions order saturate ram freeze cpu thus simulation duo manages escape simulation sneak ship steal crystallized core processing units proceed escape pod fly back earth return garage rick ’s enters passcode hidden safe refuses open garage melts away proving still trapped simulation prince nebulon appears taunts rick thinking escaped revealing zigerions always recipe concentrated dark matter rick pulls morty ’s pants cause diversion leading chase throughout ship back simulation jerry returns work order confess slogan rip ’ got milk ’ boss caught infinite loop snapping fingers saying "" yes "" span minute jerry fired rehired promoted nominated ’ appley award ’ ( fictional award jerry made seconds earlier ) jerry wins award gives heartfelt speech day best day life simulation crashes.rick morty reunite jerry attempt find real escape pod use climb one promptly pursued zigerion ships rick decides put together concentrated dark matter escape morty asks recipe rick orders morty mix 2 parts cesium 1 part plutonic quartz bottled water create concentrated dark matter morty freezes ship fading away proving rick jerry simulation along prince nebulon reappears victorious allows leave.while throwing victory celebration zigerions mix listed components make dark matter ship promptly explodes proving rick knew simulation since least time tricked entering safe combination rick sings saxophone part baker street gerry rafferty shuttle flies away.in post credits sequence jerry gives ’ hungry apples ’ pitch actual board meeting fired spot drunken rick approaches real morty bed pulling knife yelling calling "" little son bitch "" repeatedly prove simulation passing asleep"
4,Meeseeks and Destroy,"mr meeseeks existing solve beth ’s problemafter particularly traumatic adventure morty tries quit future adventures rick pleads continue sidekick allows lead adventure two strike bet :   trip success morty get lead every tenth adventure trip failure morty longer complain.the rest smith family bugs rick solution several mundane problems rick gives family meeseeks box gadget capable instantaneously summoning helpers named mr meeseeks blue creatures exist solve task hand task solved creatures instantly disappear existence rick assures family creatures happy die warns keep tasks simple rick morty leave beth asks meeseeks help become complete woman summer wants make popular school jerry put apparently difficult requests asks meeseeks something comparatively simple sounding help knock two strokes golf game.morty leads rick adventure fantasy world stop poor village requests help two heroes help raise money villagers point towards sky world giants awaits morty rick climb giant plant stalk giant ’s world wait giant ’s table emerge giant named dale appears smelling rick morty start looking ( intention eating ) suddenly slips bangs head corner table killing dale ’s wife rose son walk see scene rick morty quickly arrested dale ’s "" murder"".summer ’s meeseeks quickly makes popular school giving inspiring speech wins lot friends beth ’s takes date gives encouraging advice however jerry struggles improve golf despite coaching meeseeks jerry ready give meeseeks stop existing completes task decides summon another meeseeks help long jerry surrounded several meeseeks desperate get jerry improve since many exist long leads meeseeks slowly losing sanity task fails completed soon dozens meeseeks created jerry still improving making everyone involved frustrated exasperated beth heads dinner jerry goes along telling complaining meeseeks golf game concern ’ve gone meeseeks blame predicament argue correct solution soon descending massive brawl tearing apart ( whichstilldoes kill ) creating meeseeks join fight eventually original meeseeks alive two days ( eternity meeseeks time ) tells fellows solution permanently take strokes jerry ’s game killing him.rick morty tried giant ’s court let go thanks technicality rick tries convince morty throw towel refuses duo climb several courthouse ’s giant stairs find tavern called thirsty step morty still bounding confidence success adventure confronts rick constant negative attitude going bathroom washing hands runs mr jellybean mr jellybean asks morty adventure morty tells nervous might gotten hand mr jellybean points adventures supposed full surprises morty cheers decides "" go flow "" however mr jellybean wraps arms around morty asks stay "" go flow "" understandably unsettled impulsive tact morty tries leave mr jellybean shoves sinks realizing mr jellybean ’s attempting rape morty starts panic unfortunately one hear screams rick singing lynyrd skynyrd ’s "" sweet home alabama "" karaoke machine morty force one stalls fortunately manages fend mr jellybean although visibly shaken afterward morty emerges bathroom finds rick playing cards rick apologizes previous negative attitude tells morty good time lot money several games cards morty hand trembling terribly tells rick adventure ’s leave confused rick tells morty middle game point morty tearfully breaks tells rick ’ll accept losing bet begs rick take back home rick pieces together happened notices bruised mr jellybean leaving bathroom persuades morty get ride village share winnings townspeople morty cheers two leave.beth jerry go dinner horde mr meeseeks descend restaurant wielding various weapons jerry beth escape restaurant ’s freezer mr meeseeks began taking hostages coerce jerry come jerry almost gives beth encourages try golf swing one last time jerry emerges freezer uses severed pipe tomato prove swing improved mr meeseeks celebrate disappear except one ’ stickler ’ mr meeseeks takes hostage asks see jerry ’s short game jerry hits onion coffee cup finally dispatches mr meeseeks.after sharing remaining money villages rick congratulates morty successful adventure agrees morty bet villagers ask rick morty meet king turns mr jellybean morty quickly declines rick opens portal home duo quickly hop portal leave quickly possible however content allowing mr jellybean get away attempted rape rick quickly opens portal hand emerges portal laser gun uses shoot kill mr jellybean much horror villagers.the trauma restaurant incident helps patch together jerry beth ’s relationship time being.in credits scene one villagers sadly looking memorial statute made honor mr jellybean squire arrives shoe box filled photographs clearly frazzled something tells villager box found locked chest closet mr jellybeans estate villager looks photographs gags horrifying discovery squire suggests tell people villager orders burn instead claiming villagers would better remembering mr jellybean idea represented rather true disgusting nature episode ends shot ( rather suggestive ) statue arms around child underwear"
5,Rick Potion 9,"  morty interested jessica lacks opportunity ever talk either shy attempts shut brad whenever tries annual flu season dance coming morty talks jerry issue jerry compares morty ’s fondness jessica fondness beth teenager rick overhears jerry ’s story reminds said fondness resulted jerry getting beth pregnant 17 rick proceeds warn morty go jerry romantic advice "" marriage hanging thread "" insulted jerry remarks problem marriage unconvinced rick tells jerry believe wants pretty obvious beth looking excuse leave morty becomes upset asks rick talk parents fashion response rick tells morty people interpret "" love "" chemical causes animals breed happened true passion fades away rick leaves depressed morty goes upstairs prepare dance nervous jerry goes check beth thinking rick told morty approaches rick requests potion make jessica like brief argument rick calls morty "" thorn ass "" gives morty serum based genetic makeup voles rodent pair bonds mate life leaving morty asks anything could go wrong serum rick answers morty left however rick quickly adds "" unless flu "" shrugs off.at dance morty uses serum jessica save dilated pupils seems success brad sees jessica holding morty becomes angry tries wrestle away things get worse jessica begins sneeze serum piggy backed onto flu virus caused virus replicate seconds seen go airborne infects brad serum brad quickly apologizes morty begins make sexual advances morty leads another scuffle jessica brad eventually principal vagina leads brad away brad sneezes causing serum laced flu virus enter fruit punch air vents soon everyone dance infected flu subsequently serum morty prays everything go according plan jessica starts aggressively telling morty sex spot front entire school morty unsurprisingly mortified jessica ’s friend tells control begins make advances morty well morty slowly backs notices everyone room dilated pupils looking lustfully realizing happened dread morty feebly whimpers "" oh crap "" students faculty swarm around morty violently competing morty morty eventually manages get away everyone makes break exit rick waiting rick tells morty realized messed explains happened terrified morty asks rick going rick tells already whipped antidote using praying mantis dna base claiming "" opposite voles "" due nature mate female devours male.rick releases antidote along second powerful airborne virus upon releasing new airborne serum rick tells morty serum affect anyone related morty blood luckily means none family want sex moment antidote appears successful everybody starts growing mantis like features appendages still wish copulate morty also urge behead eat afterward mantis love virus soon infects entire earth population wish mate morty consume afterwards.meanwhile jerry approaches beth asks still loves beth tells jerry loving equivalent building homeless shelter work nobody wants people care anyway called work late help horses incident racetrack jerry begins suspect may affair despite summer ’s warnings jerry decides stop st equis hospital wife works way encounters massive roadblock highway confronted several mutated victims finding shotgun abandoned police car jerry arms shoots way horde successful surgery beth ’s coworker davin makes move infected mantis love virus jerry tattered clothes busts crowbar beats death meanwhile rick morty travel secluded area desert rick tries concoct third serum undo previous work morty watching news horrified find virus spread across entire planet rick claims created solution taking dna several sources including koala rattlesnake chimpanzee cactus golden retriever shark dinosaur morty confused rick ’s concoction asks would put people back normal gets chastised rick questioning fly town rick tries build hype rub supposed success morty ’s face morty finally grows tired rick ’s arrogance releases third airborne virus first serum seems worked people returned normal quickly people begin turning disfigured humanoid blobs rick dubs "" cronenbergs "" rick sarcastically says "" welcome "" morty claiming made "" mayor ’ told town ’ "" world soon overrun disfigured monsters jerry beth fight way survive eventually reuniting summer.as dawn breaks rick morty sit upon rooftop overlooking chaos around rick tries light hearted jokingly points one wants sex morty must going right direction morty hand still absolutely horrified fact world ruin asks rick could irresponsible willing take blame rick reminds morty one asked serum begin claimed morty total creep morty accepts responsibility disaster quickly reminds rick one botched original serum mixed bunch random genes together hoped best ended turning entire world population cronenbergs.furthermore morty declares rick figure way fix everything wits end rick ultimately decides use final emergency solution scene cuts rick morty ’s garage morty congratulating rick saving world cronenbergs rick asks morty screwdriver gladly begins finish invention earlier rick twists screw third time device violently explodes instantly ( messily ) killing rick morty rick morty rooftop scene step portal morty panics sight incredibly bloody garage corpses grandfather lying limp burnt ground ; rick calms telling morty infinite number realities managed save world viruses rick explains find one realities died soon afterwards could come take place still horrified morty asks rick going happen world left behind rick tell nothing think rick remarks morty glad messed much would versions died explosion episode ends rick morty burying dead bodies backyard upon finishing morty thousand yard stare returns house daze looks around new home sits couch clearly shell shocked happened.after credits remainder smith family prime dimension shown living van fitted armor survival equipment roasting dead cronenberg fire summer creates tv shows standing cardboard box parents jerry beth admit miss rick morty despite world falling apart actually found happiness meanwhile cronenberg rick cronenberg morty transport reality call cronenberg world cronenberg rick accidentally turned everyone normal human beings"
6,Raising Gazorpazorp,"rick haggles owner intergalactic pawn shop morty spots sex robot back shop asks saying "" looks cool "" claiming needs souvenir adventures rick case grandfather ever passes away dismissively rick concedes.back earth rest morty ’s family perturbed newly sexually active lifestyle robot jerry particularly vocal since morty stay room robot beth points morty undergoing puberty insists jerry intervene though remains cautiously open idea morty calls rick ’s help father goes upstairs.morty reveals floating metal ball claims "" gwendolyn "" robot rest family alerted commotion rick trying secure ball witness metal ball give birth infant turn back robot inspecting robot ’s insides rick confirms robot given ability give birth infant contains half morty ’s dna shock morty family put alien infant stopped rest family ask let live despite protests rick decides take robot garage inspect morty determined raise alien morty calls "" morty jr "" own.as summer visits garage rick identifies robot ’s origin planet gazorpazorp andromeda system explains intends send morty jr back home planet find suitable parents summer hints wishes go adventure grandfather like morty rick dismisses claiming take "" chicks "" adventures offends summer summer suddenly seized portal rick opens male gazorpians forcing rick follow meanwhile jerry beth attempt give morty parenting advice end disagreeing different parenting styles alluding disappointments children morty snaps demanding parents back instead turning television show morty jr children ’s show ; jerry beth agree morty inevitably fail parenting.on gazorpazorp summer nearly raped male gazorpians rick rescues time resulting fight destroys portal gun rick attempts repairs gun parts broken sex robots littered planet summer forced conceal burqa disgusted backwards patriarchal state planet offended rick ’s suggestion male gazorpians removed females efficiency due advancement eventually caused fallout knocked back "" stone age "" gigantic floating stone head arrives male gazorpians drop sex robots males copulate rick summer grapple onto one robots enter stone head revealed run refined female gazorpians profess severe distaste males forcing summer rick fake master slave relationship.the female gazorpians bring rick summer underground matriachal utopia bringing leader sha sha reveals female gazorpians chose separate males continue species created sex robots separate resulting babies gender ; little girls educated society children evicted onto planet ’s surface summer exclaims infants children sha tells gazorpian males mature within day become one violent aggressive species universe rick realizes morty big trouble earth indeed morty jr matures infancy childhood morty horrified morty jr expresses desire cause destruction murder mayhem insists keeping morty jr indoors claiming atmosphere outside poisonous morty jr however causes morty jr ’s relationship morty become strained morty tries divert morty jr ’s attention dance children show ends yelling morty jr causing morty jr cry something jerry beth remark "" nice"".summer explains sha male gazorpian born planet causing sha question state gender equality earth prompting argument rick summer gender roles earth culminating rick popping massive resounding fart protest disgust female gazorpians upon hearing summer refer rick "" grandfather "" realizing summer product male / female reproduction sha orders arrest time morty jr grown adolescence picked smoking demands allowed warlike tendencies watching documentaries history channel following argument morty morty jr runs house ; discovering air poisonous runs away.ma sha sentences summer rick death revealing bickering rick crushed falling boulder rick apologizes summer impending fate complements top gives idea summer protests pointing top sha earlier complimented explains designed male earthling fashion designer proves showing design label saying fraction male earthlings born gay summer explains gender separation worked well gazorpazorp standards would work earth would fair enforce female gazorpian standards humans since female gazorpians acknowledge better dressed clothes made male sha release sha concedes giving spaceship summer rick return "" weird planet women equal really"".on earth morty jr begun rampage following epiphany backed music driven jerry ’s car morty tries calm morty jr eventually succeeds morty admits morty jr alien good father explains really wanted morty jr channel destructive nature creative outlets brad anderson creator comic stripmarmaduke agrees walks revealing marmaduke creative outlet channels violent sexual thoughts morty morty jr share farewell hug rick summer return earth rick giving ownership gazorpian spaceship summer beth asks rick rick answers popping another fart whole family laughs at.following credits morty jr seen television show ( watched everyone smith household ) talk show host matured middle aged man best selling author book titled "" horrible father "" childhood experience morty cringes family stunned watch beth assures son parenting thankless task end best could downcast morty hopes jr eating enough"
7,Rixty Minutes,"smith family gathered around television invested ’ bachelor ’ style reality show rick expresses disgust quality television jerry challenges provide anything better rick destroys existing cable box installs : cable box capable receiving television across infinite dimensions shows featured alternate realities vary wildly showtime crime show reality people evolved corn rick flips channels show endless possibilities family sees jerry episode david letterman reality famous movie star excites rest family rick gets annoyed feeling getting obsessed wrong things.rick pulls pair inter dimensional goggles throws kitchen jerry beth summer chase morty says care enough see alternate self would like rick congratulates two watch various commercials clips alternate realities.meanwhile jerry beth summer kitchen taking turns using goggles jerry sees cocaine johnny depp beth sees operating person instead horse summer trouble finding realities except moment family playing yahtzee time first finds unwanted pregnancy news upsets greatly seeing parents achieve dreams realities born tells running away.the alternate realities lives shake jerry beth core decide maybe would better spend time apart summer goes upstairs begins pack morty attempts console attempts push away thinking morty going use cliches childhood drawing points outside graves backyard ( episode "" rick potion 9 "" ) reveals truth fact real brother brother another reality morty tells summer "" nobody exists purpose nobody belongs anywhere everybody going die come watch tv?""beth keeps goggles lying floor kitchen enjoying alternate life television main room shows alternate reality jerry drug induced breakdown stripped underwear head half shaven driving mobility scooter freeway droves police cars behind rick almost changes channel jerry yells keep watch alternate reality jerry arrives doorstep alternate reality beth telling hated life regretted continuing relationship beth jerry stunned run embrace.in post credit sequence smith family watching news hamster butt world family asks rick wide variety questions world begrudgingly creates portal world ’ ask ’ jerry excitedly calls family vacation smith family spend vacation hamster butt world photo montage show good time ( even rick end )"
8,Something Ricked This Way Comes,"smith family eating breakfast rick creates small robot purely pass butter table morty comes kitchen ask rick help science project jerry jumps opportunity work project morty due low self confidence intelligence morty decides agree summer asks ride job defaulted rick since jerry ’ busy’.rick gives summer ride job helping eccentric old man run ’ vintage thrift store ’ called needful things shop run mr needful opened recently rick summer arrive mr goldenfold arrives accident ( thinking shop jamba juice ) mr needful knows name without introduction gives aftershave help capture female attention aftershave free mr needful states "" nobody ever pays money"".summer rick arrive shop rick immediately suspicious mr needful asking whether devil accusation startles mr needful quickly tries give rick microscope rick reluctantly takes summer pushes door meanwhile jerry morty begin work solar system model science project jerry states pluto planet morty attempts correct however jerry refuses say pluto planet.morty visits rick garage rick scans microscope finds using would significantly lowered iq jerry barges assuming morty asking rick whether pluto planet jerry vehemently argues planet could planet mr goldenfold returns needful things saying aftershave worked made impotent rick arrives administers cure goldenfold reveals invented device identify negative effects cursed items rick goes around store scanning items revealing curses scares away customer base mr needful rick briefly fight summer pushes rick door.jerry attempts call nasa argue pluto ’s planetary status however two quickly abducted alien ship taken pluto meet king flippynips ruler pluto king overjoyed jerry believes pluto planet jerry becomes spokesperson population assuring still planet large cheering crowd quickly inflates jerry ’s ego.needful things begins sell variety items summer mr needful discover rick opened another shop across street called curse purge plus shop removes curses fee instant hit causes strain mr needful ’s confidence attempts kill saved summer summer arrives rick ’s shop concede defeat results rick getting bored burning shop ground.jerry becomes famous pluto population appearing various events advocate pluto planet morty meets scroopy noopers plutonian scientist reveals major corporations mining plutonium pluto ’s core thus making planet shrink slowly die jerry ’s opinions fall line corporations desperate keep public uninformed problems morty ’s attempts persuade father tell populace truth falls deaf ears king flippynips captures scroopy noopers reveals son jerry work courage tell population pluto problems.mr needful opens new business technology realm opening n33dful.com ravenous reviews congratulates workforce orders security quickly fires summer feels betrayed reaches rick offers idea two lift weights take steroids become incredibly muscular ambush mr needful tech talk celebrating together.in post credits scene muscular rick summer beat various mean spirited individuals including neo nazi school bully homophobe protesting outside church abusive dog owner"
9,Close Rick-Counters of the Rick Kind,"27 ricks alternate dimensions end murdered respective mortys   kidnapped trans dimensional council ricks orders arrest rick c-137 ( show original rick ) accuses crimes due refusal participate affairs angry framed rick escapes council morty go real culprit set finds another rick supposedly responsible murdering counterparts stealing mortys conceal presence.meanwhile morty begins believe nothing tool protect rick jerry begins bond rick j19ζ7 kindest rick realities morty leads rebellion alternate mortys "" evil "" rick three ricks council ricks discover "" evil "" rick mind controlled revealed audience controlled "" "" morty destroyed eyepatch avoid recognized.in post credit scene jerry rick ’s room missing doofus rick version rick made friends assuring rick came nothing ’s wrong upon going dining room sees doofus rick waves rick laughs friends decides call variants"
