,title,text
0,Pilot,middle night rick bursts morty room surprise vehicle rick neutrino bomb earth start end humanity morty jessica adam eve morty control situation wheel vehicle rick vehicle test morty bomb morning morty breakfast mother beth morty sister summer rick argument jerry father law rick school waste time room breakfast daughter beth tears joy father husband jerry annoyance.at school day mr goldenfold math test morty dream numbers dream encounter jessica breasts mr goldenfold end morty fantasy morty bully rick freeze ray morty history pair hands dimension rick morty school hallway summer front foot cracks shatters pieces floor summer lunch break jerry wife beth heart surgery lunch rick nursing home response beth alleyway rick portal wall rick morty hillside world rick awestruck morty dimension c mega seeds mega trees research morty anxiety situation rick morty speech fears arachnid beast rick monster monsters rick set objections morty morty attention grove trees bottom valley morty nature mega seeds rick morty grappling shoes wall morty steps edge cliff rick morty shoes on.meanwhile jerry beth rick retirement home beth husband jerry father jerry rick influence son morty interruption beth assistant davin beth husband argument morty trouble school rick fact morty friend detriment principal school gene vagina calls couple school dimension c morty ground bottom cliff legs places rick morty folly shoes morty yells rick indifference focus mega seeds injuries rick morty portal number seconds morty legs serum morty legs legs morty grappling shoes mega fruit rick dimension technology things process time dimension gun charge morty panics rick customs order seeds morty mega seeds customs rectum morty objects rick years smuggling same.meeting vagina jerry beth son morty school total hours month period addition principal rick morty customs rick morty insect security guards machine detects stuff way butt rick morty guard ground break guards creatures dimensions rick things customs security aliens bystanders grappling shoes methods avoidance rick coordinates home dimension guards rick morty robots morty robots organisms rick metaphor guards bureaucrats firefight wilhelm scream coordinate input rick morty portal school cafeteria morty lands front jessica jerry beth catch spouses rick stuff garage van nursing home rick daughter son law morty disability rick morty root pi law thermodynamics recites adventures way morty life morty things result adventures husband wife relent content morty rick morty none parents super intelligence effects mega seeds cavity side effects hold morty brain function control motor skills rick adventures rick morty years rick morty episode garage door rick
1,Lawnmower Dog,"jerry family dog snuffles rick jerry device dog intelligence morty dreams morty math teacher morty class morty homework morty math teacher dreams dreams tv character mrs pancakes centaur dreams results rick morty terry parody krueger villain ina nightmare elm street terry dreams rick point dream city terry terry rick morty dreams duo mission infomercials dogs snuffles suit translator humans robot dog army race rick morty pills kidneys down.morty hospital bed state snuffles side snuffles awakens scenario dream earth answer dog kind fate humankind heartbreak cruelty snuffles morty goodbye snuffles leaves planet dogs compassion insurance ""after credits rick terry class mr johnson glen fundamentals fear glen students"
2,Anatomy Park (Episode),christmas jerry idea holiday rest family hisparents morty beth summer gadgets rick man santa outfit ruben holiday jerry idea family christmas introduction jacob mother lover way relationship parents rest family relationship jerry anxiety parents relationship episode.meanwhile morty rick park style amusement park ruben man ruben body rick size ruben chest cavity dr xenon bloom residents anatomy park ruben multitude bacteria viruses body crew way anatomy park morty annie employee anatomy park journey plight crew poncho safety park dr bloom death plague roger shit after.meanwhile summer boyfriend ethan house texts argument jacob ethan source anger.back body dr bloom annie morty room reuben history body crew railway system bone train nipple dr bloom e. coli bone train morty annie hepatitis hepatitis c rescue.meanwhile rick ruben body ship morty crew space growth ray corpse panic sky santa body dynamite rick morty annie chunks america smith household.rick morty annie arrive house annie dr bloom work knowledge one rick shrinks morty credits scene rick talks annie speakerphone crew plans rick ride pirates pancreas rants ethan site anatomy park compromise ethan mutation morphixer xe park
3,M. Night Shaym-Aliens!,episode rick rat garage workmanship morty day beth car work rick day events morty morty school front math class mr goldenfold class morty answer math question classmate morty recipe matter morty jessica rick bursts morty away.rick morty locker room showers rick simulation life race scammers zigerions rick morty race sight nudity.meanwhile jerry simulation day events glitches simulation capacity jerry drives pitch marketing slogan apples apples board members jerry confidence love beth.rick morty plan rap concert rick orders crowd variety actions order ram cpu simulation duo simulation ship core processing units escape pod earth garage rick passcode garage simulation prince nebulon taunts rick zigerions recipe matter rick morty pants diversion chase ship simulation jerry returns order slogan rip milk boss loop fingers span minute jerry appley award award jerry seconds jerry award speech day day life simulation crashes.rick morty reunite jerry escape pod zigerion ships rick matter morty recipe rick orders morty parts cesium part quartz water matter morty ship rick jerry simulation prince nebulon victory celebration zigerions components matter ship rick simulation time combination rick saxophone part baker street gerry rafferty shuttle sequence jerry apples pitch board meeting spot rick morty bed knife son bitch simulation
4,Meeseeks and Destroy,"mr meeseeks beth adventure morty adventures rick sidekick adventure strike bet trip success morty adventure trip failure morty rest smith family rick solution problems rick family meeseeks box gadget helpers mr meeseeks creatures task hand task creatures existence rick family creatures tasks rick morty beth meeseeks woman summer school jerry requests meeseeks sounding strokes golf game.morty rick adventure fantasy world village help heroes money villagers sky world giants morty rick plant stalk giant world giant table giant dale rick morty intention head corner table dale wife son scene rick morty dale murder"".summer meeseeks school speech lot friends beth date advice jerry struggles golf coaching meeseeks jerry meeseeks task meeseeks jerry meeseeks jerry meeseeks sanity task dozens meeseeks jerry beth heads dinner jerry meeseeks golf game concern meeseeks predicament solution brawl whichstilldoes meeseeks fight meeseeks days eternity meeseeks time fellows solution strokes jerry game him.rick morty giant court thanks technicality rick morty towel courthouse stairs tavern step morty confidence success adventure confronts rick attitude bathroom hands mr jellybean mr jellybean morty adventure morty hand mr jellybean adventures surprises morty cheers flow mr jellybean arms morty flow tact morty mr jellybean sinks mr jellybean morty one screams rick lynyrd skynyrd home alabama karaoke machine morty force stalls mr jellybean morty bathroom rick playing cards rick apologizes attitude morty time lot money games cards morty hand rick adventure rick morty middle game point morty rick bet rick rick pieces mr jellybean bathroom morty ride village winnings townspeople morty leave.beth jerry dinner horde mr meeseeks restaurant weapons jerry beth restaurant freezer mr meeseeks hostages jerry jerry beth golf swing time jerry freezer pipe tomato swing mr meeseeks stickler mr meeseeks hostage jerry game jerry onion coffee cup mr meeseeks.after money villages rick morty adventure morty bet villagers rick morty king mr jellybean morty declines rick home duo mr jellybean rape rick hand laser gun mr jellybean horror trauma restaurant incident jerry beth relationship time credits scene villagers statute honor mr jellybean squire shoe box photographs villager box chest closet mr jellybeans estate villager photographs gags discovery squire people villager villagers mr jellybean idea nature episode shot statue arms child underwear"
5,Rick Potion 9,morty jessica opportunity attempts brad flu season dance morty talks issue jerry morty fondness jessica fondness beth teenager rick overhears jerry story fondness jerry beth rick proceeds morty advice marriage thread jerry remarks problem marriage rick jerry beth excuse morty rick parents fashion response rick morty people love chemical animals passion rick leaves morty dance jerry beth rick morty rick potion jessica argument rick morty ass morty serum makeup voles rodent bonds mate life morty serum rick morty rick flu shrugs dance morty serum jessica pupils success brad jessica morty things jessica serum piggy flu virus virus seconds serum morty advances morty scuffle jessica brad vagina brad serum flu virus fruit punch air vents dance flu serum morty plan jessica morty sex spot front school morty jessica friend advances morty morty room pupils dread morty whimpers crap students faculty swarm morty morty morty break exit rick rick morty morty rick rick antidote mantis dna base voles nature devours male.rick antidote virus serum rick morty serum morty blood none family sex moment antidote mantis features appendages morty urge mantis love virus earth population morty jerry beth beth jerry equivalent shelter people horses incident racetrack jerry affair summer warnings jerry st equis hospital wife way roadblock highway victims shotgun police car jerry arms way horde surgery beth coworker davin move mantis love virus jerry clothes busts crowbar death rick morty travel area desert rick serum work morty news virus planet rick solution dna sources koala rattlesnake chimpanzee cactus retriever shark dinosaur morty rick concoction people rick town rick hype success morty face morty rick arrogance virus serum people people blobs rick dubs rick morty mayor town world monsters jerry beth way dawn breaks rick morty rooftop chaos rick one sex morty direction morty hand fact world ruin rick blame rick morty serum morty creep morty responsibility disaster rick serum bunch genes world population cronenbergs.furthermore morty rick way wits rick emergency solution scene rick morty garage morty rick world cronenbergs rick morty screwdriver invention rick screw time device rick morty rick morty rooftop scene morty panics sight garage corpses grandfather ground rick morty number realities world viruses rick realities place morty rick world rick rick morty versions explosion episode rick morty bodies backyard finishing morty yard stare house daze home couch shell happened.after credits remainder smith family dimension van armor survival equipment cronenberg fire summer tv shows cardboard box parents jerry beth rick morty world happiness cronenberg rick cronenberg morty transport reality cronenberg world cronenberg rick beings
6,Raising Gazorpazorp,"rick haggles owner pawn shop morty spots sex robot back shop souvenir adventures rick case grandfather rick concedes.back earth rest morty family lifestyle robot jerry morty room robot beth morty puberty jerry idea morty rick help father metal ball gwendolyn robot rest family commotion rick ball metal ball birth infant robot robot rick robot ability birth infant half morty dna shock morty family infant rest family protests rick robot garage morty alien morty morty jr own.as summer garage rick robot origin planet gazorpazorp andromeda system morty jr home planet parents summer hints adventure grandfather morty rick chicks adventures summer summer rick gazorpians rick jerry beth morty parenting advice parenting styles disappointments children morty snaps parents television morty jr children show jerry beth morty parenting.on gazorpazorp summer rick time fight gun rick repairs gun parts sex robots planet summer burqa state planet rick suggestion gazorpians females efficiency advancement fallout stone age stone head male sex robots males rick summer grapple robots stone head gazorpians distaste males summer rick master slave gazorpians rick summer matriachal utopia leader sha sha gazorpians males species sex robots babies gender girls society children planet surface summer infants children sha males day species universe rick morty trouble earth morty jr matures infancy childhood morty morty jr desire destruction murder mayhem morty jr indoors atmosphere morty jr morty jr relationship morty morty morty jr attention dance children show morty jr morty jr jerry beth remark nice"".summer sha gazorpian planet sha state gender equality earth argument rick summer gender roles earth rick fart protest disgust gazorpians summer refer rick grandfather summer product reproduction sha arrest time morty jr adolescence smoking demands tendencies documentaries history channel argument morty morty jr house air sha sentences summer rick death bickering rick boulder rick fate top idea summer protests top sha male fashion designer design label fraction earthlings summer gender separation gazorpazorp standards earth standards humans gazorpians clothes male sha sha spaceship summer rick planet women earth morty jr rampage epiphany music jerry car morty morty jr morty morty jr alien father morty jr nature outlets brad anderson creator stripmarmaduke marmaduke outlet thoughts morty morty jr farewell hug rick summer return earth rick ownership spaceship summer beth rick rick fart family laughs credits morty jr television show smith household talk show host man author book father childhood experience morty cringes family beth son parenting task end downcast morty jr"
7,Rixty Minutes,smith family television bachelor style reality show rick disgust quality television jerry rick cable box cable box television dimensions shows realities showtime crime show reality people corn rick channels possibilities family jerry episode david letterman reality movie star rest family rick feeling things.rick pair goggles kitchen jerry beth summer chase morty self rick commercials clips realities.meanwhile jerry beth summer kitchen turns goggles jerry cocaine johnny depp beth person horse summer trouble realities moment family time pregnancy news parents dreams realities realities lives jerry beth core time summer morty attempts morty cliches childhood drawing graves backyard episode rick potion truth fact brother brother reality morty summer purpose goggles floor kitchen life television room reality jerry drug breakdown underwear head mobility scooter freeway droves police cars rick channel jerry reality jerry doorstep reality beth life relationship beth jerry sequence smith family news hamster butt world family rick variety questions world portal world jerry family vacation smith family vacation hamster butt world photo montage time rick end
8,Something Ricked This Way Comes,"smith family breakfast rick robot butter table morty kitchen rick science project jerry opportunity project morty self confidence intelligence morty summer ride job rick jerry busy’.rick summer ride job man thrift store things shop mr needful rick summer arrive mr goldenfold accident shop jamba juice mr needful name introduction aftershave attention aftershave mr needful states money"".summer rick arrive shop rick mr needful devil accusation mr needful rick microscope rick summer door jerry morty system model science project jerry states pluto planet morty attempts jerry pluto planet.morty rick garage rick microscope iq jerry morty rick pluto planet jerry planet planet mr goldenfold things aftershave rick cure device effects items rick store items curses customer base mr needful rick briefly summer pushes attempts nasa pluto status ship pluto king flippynips ruler pluto king jerry pluto planet jerry spokesperson population planet cheering crowd jerry things variety items summer mr needful rick shop street curse purge plus shop curses fee hit strain mr needful confidence summer summer rick shop defeat rick shop ground.jerry pluto population events pluto planet morty scroopy noopers scientist corporations plutonium pluto core planet shrink jerry opinions line corporations problems morty attempts father populace truth ears king flippynips noopers son jerry courage population pluto problems.mr needful business technology realm n33dful.com reviews workforce security fires summer rick idea lift weights steroids mr needful tech talk together.in post scene rick summer individuals neo nazi school bully homophobe church dog owner"
9,Close Rick-Counters of the Rick Kind,ricks dimensions mortys council ricks arrest rick c-137 show rick crimes refusal affairs rick council morty culprit rick counterparts mortys presence.meanwhile morty tool rick jerry rick j19ζ7 rick realities morty rebellion mortys rick ricks council ricks rick mind audience morty eyepatch post credit scene jerry rick room doofus rick version rick friends rick dining room doofus rick waves rick laughs friends variants
