,episode no.,speaker,dialouge
0,1,Rick,stumbl drunkenli turn light morty got tocom jus ’ got come
1,1,Morty,rub eye rick go
2,1,Rick,  got surpris morty
3,1,Morty,  middl night talk
4,1,Rick,spill alcohol morty ’s bed come got surpris dragsmorti ankl come hurri pull morty bed intoth hall
5,1,Morty,  ow ow tug hard
6,1,Rick,  got go got get come got surpris morty
7,1,Rick,rick drive night sky think fli vehicl morty built stuff found garag
8,1,Morty,  yeah rick great surpris
9,1,Rick,  morty — — make bomb morty.i creat bomb
10,1,Morty,  bomb
11,1,Rick,  go drop get whole fresh start morty creat awhol fresh start
12,1,Morty,  absolut crazi
13,1,Rick,  come morty take easi morty go good right arego go pick littl friend jessica
14,1,Morty,  jessica math class
15,1,Rick,put arm around morty ’s shoulder drop bomb youknow want somebodi know want thing i’mgo make like new adam eve go adam
16,1,Morty,  ohh
17,1,Rick,  jessica ’s go eve
18,1,Morty,  whhhh wha
19,1,Rick,  surpris morty
20,1,Morty,  shove rick away jessica even know iexist — forget blow human
21,1,Rick,  get tri say morty listen ’m spillsalcohol shirt got got worryabout tri fool around jessica mess around jessica oranyth ’m kind guy morty
22,1,Morty,  talk rick
23,1,Rick,  worri get jessica anything.sh sh — morty
24,1,Morty,  care jessica yyyyyyyyyyou —
25,1,Rick,  know morty right throw empti bottl thebackseat ) let us forget girl altogeth probabl noth buttroubl anyway ( press button
26,1,Robot Voice,arm neutrino bomb
27,1,Morty,unbuckl seatbelt ) rick ’m take thewheel ( jump rick start fight control thewheel
28,1,Rick,  get morty begin talk
29,1,Morty,  ’m take charg situat buddy start kick rick ’s facewhil grab wheel
30,1,Rick,time ) come gotten love earth somuch marri ( push morty ) crazi alright alright morty ( push morty
31,1,Rick,  alright i’ll i’ll land ’ll land ’ll land ’ll land thing ’ll landth thing big tough guy sudden
32,1,Rick,rick land cruiser open desert ; open door tumblesout among dozen empti alcohol can bottl
33,1,Morty,  oh thank god
34,1,Rick,  know test morty elabor test make youmor assert
35,1,Morty, 
36,1,Rick,  sure know know mo — fall asleepand begin snore
37,1,Robot Voice,neutrino bomb arm
38,1,Morty,  um
39,1,Jerry,  see new episod sing show tonight guy thinki go best singer
40,1,Summer,  oh god head food ’m go puke
41,1,Beth,  morty get sick morty lift head clearli exhaust andwip food face
42,1,Morty,  kiss pillow mom get lot sleep last night.mayb dream loud someth
43,1,Summer,  mayb night grandpa rick
44,1,Jerry, 
45,1,Beth,  dad
46,1,Rick,  everyon ’s suppos sleep everi singl night realiz thatnighttim make half time
47,1,Jerry,  damn
48,1,Beth,  jerry
49,1,Jerry,  beth
50,1,Summer,  oh god parent loud want die
51,1,Rick,  mm god summer got rip band aid ’ll thankm later
52,1,Jerry,glare rick okay due respect rick — italk respect due son suppos pass classesif keep drag high concept sci fi rigamarol
53,1,Rick,"  listen jerry want overstep bound anyth yourhous world real julius caesar ’ll tell yousometh — tell feel school jerry wast time.jerry stare incredul ) buncha peopl run around bump g guy front say "" two plu two "" peopl inth back say "" four "" — bell ring give acarton milk piec paper say go take dump orsometh mean place smart peopl jerry knowthat popular opinion two cent issu ( wipe hismouth get stop behind beth put hand shoulder)thi good breakfast beth realli made crap eggs.i wish mother eat ( rick give beth kiss walksaway"
54,1,Beth,tear happi oh dad …
55,1,Jerry,  real morty ’s face slam plate
56,1,Mr. Goldenfold,alright everybodi get settl get away window
57,1,Mr. Goldenfold,look go deal real seriou stuff today mighthav heard call math without none us would even exist let us jump right two plu two
58,1,All classmates except Morty,four.morti sit back row stare jessica sit thefront row answer jessica ’s name question
59,1,Morty,  jessica
60,1,Mr. Goldenfold,  five plu five
61,1,All classmates except Morty,ten
62,1,Morty,  jessica jessica hear morty look back confus sure issay name
63,1,Mr. Goldenfold,okay good time quiz
64,1,Class,  awwwwww
65,1,Mr. Goldenfold,yeah know aw bad tough first row take one pass back form stake high room morty stare quiz ; thenumb quiz jumbl togeth morty fall asleep
66,1,Jessica,  hi morty
67,1,Morty,  whoa hi jessica
68,1,Jessica,  show jessica open shirt show morty herbreast
69,1,Morty,  wow th great thank
70,1,Jessica,  know name littl morti
71,1,Morty,rub back neck uh flatter littleweird
72,1,Jessica,  know want
73,1,Morty,  renam
74,1,Jessica,  squeez manhandl give busi see shufflethem mean realli get knock around wrong answer
75,1,Morty,  wow well okay jessica l let us give shot morty grabs herbreast start fondl
76,1,Jessica,  mm oh morty
77,1,Morty,  uh i’m best real life class end morty isfondl mr goldenfold
78,1,Mr. Goldenfold,morty
79,1,Morty,sleep talk ah jessica
80,1,Mr. Goldenfold,morty
81,1,Morty,  jessica
82,1,Mr. Goldenfold,five minut ’m go get mad lean back bite hislip
83,1,Morty,  je jessica jessica
84,1,Mr. Goldenfold,fault happen
85,1,Frank,morty locker confront bulli frankpalicki
86,1,Morty,  uh morn frank
87,1,Frank,"pin morty locker "" morn "" thatsuppos mean make fun tri say famili ’s poor?tak pocket knife point morty ’s neck"
88,1,Morty,  oh geez frank know knife necessari mean know youkind thing handl without
89,1,Frank,"  tell bulli big mistak morty ’m go cut you,’caus famili ’s rich frank suddenli freezes rick step frombehind"
90,1,Rick,  morty listen got errand run whole differentdimens need extra pair hand
91,1,Morty,  oh geez rick w w what’d frank
92,1,Rick,  pretti obviou morty froze listen need help morty imean got got get get hell go take care ofbusi burp import come morty
93,1,Morty,  know rick leav school
94,1,Rick,  concept much higher stake get morty whatdo think come
95,1,Morty,  aw geez okay guess skip histori frank mean notyou unfreez
96,1,Rick,  ’ll later morty ’ll fine let us go take mortyand summer come see frank ’s frozen bodi
97,1,Summer,headoh god ’m walk past frank palicky thisi stori ’ll tell children walk frank talksto oblivi fact frozen
98,1,Summer,  hi frank frank ’s frozen foot break drop ground andshatt million piec die
99,1,Summer,  aaaaaaaaaaahhhhh
100,1,Beth,perform heart surgeri hors scalpel
101,1,Davin,  scalpel jerry enter room
102,1,Jerry,  knock knock
103,1,Beth,  jerry
104,1,Jerry,"  manag gave hour lunch thought "" hey swing bywher wife work "" heart rate hors start beepingr fast"
105,1,Tom,offscreen ) lose ( beth adjust horse’sorgans
106,1,Tom,offscreen okay back
107,1,Beth,  jerry pleas tell incred urgent reason
108,1,Jerry,  well lunch mean one three meal exist formillennia heart rate start beep
109,1,Tom,offscreen ) lose ( beth adjust organ
110,1,Tom,offscreen stabil
111,1,Beth,  okay ask jerry know job involv perform heartsurgeri
112,1,Jerry,  well yeah hors
113,1,Beth,  excus
114,1,Jerry,  okay let us rehash fight sens busi onmi way drop pamphlet ground
115,1,Jerry,  whoa floor kind literatur reallynic look nurs home hey honey crazi idea bad pitch let us put dadher let us put dad nurs home beth look jerry angrilyand heart hate start beep
116,1,Tom,offscreen lose
117,1,Beth,  hey tom know lose hear beep
118,1,Rick,  right come morty let us go
119,1,Morty,  oh geez okay rick morty go portal end acrazi altern dimens
120,1,Morty,  oh man rick place
121,1,Rick,  dimens 35 c got perfect climat condit specialtyp tree morty call mega tree fruit tree andther seed fruit ’m talk mega seed areincred power need help research morty
